Year,Month,Day,AZN.L,BBY.L,UU.L,VOD.L,LRE.L,JD.L,GSK.L,PRU.L,BATS.L,BT-A.L,^FTSE,GBPUSD=X
2010,1,4,1727.157471,183.937378,281.822113,60.716599,165.797638,4.386557,724.089478,363.618164,1098.133545,87.32473,5500.299805,1.61137
2010,1,5,1707.484497,190.471054,280.800079,60.631824,167.346741,4.437962,706.52124,364.754547,1091.64856,89.086334,5522.5,1.599079
2010,1,6,1688.397949,195.300278,281.935791,60.377579,168.56395,4.712122,700.304504,366.743103,1098.133545,90.973747,5530,1.602384
2010,1,7,1709.245972,198.851212,277.733673,58.809906,165.244339,5.26901,699.223816,357.084473,1104.888428,89.841309,5526.700195,1.593397
2010,1,8,1708.071533,196.649673,281.651855,58.047256,165.391891,5.624559,692.466431,362.766022,1099.754639,89.967125,5534.200195,1.60241
2010,1,11,1735.379517,200.626663,280.800079,58.407394,165.98204,5.78306,696.25061,355.948181,1092.999512,89.715485,5538.100098,1.611292
2010,1,12,1719.816772,195.442322,279.948273,58.365009,163.732025,5.615992,697.331665,357.652679,1094.350586,90.784988,5498.700195,1.61517
2010,1,13,1739.490601,196.223495,278.926178,58.428555,163.953354,5.474629,689.223022,354.52774,1093.269775,92.420769,5473.5,1.628611
2010,1,14,1773.552124,200.271545,279.948273,57.962482,163.768921,5.55602,693.547607,352.539124,1092.729126,92.294945,5498.200195,1.6334
2010,1,15,1762.100464,197.856888,277.222687,57.07272,162.256638,5.414657,675.708984,346.573608,1106.239502,91.22538,5455.399902,1.626995
2010,1,19,1801.447144,199.774414,285.910645,58.174377,160.44931,5.33755,694.358521,348.562134,1126.775635,91.854561,5513.100098,1.635671
2010,1,20,1793.226074,200.555634,288.749908,57.602341,162.293549,5.26901,693.817871,344.585022,1124.073608,91.099571,5420.799805,1.629806
2010,1,21,1810.550293,195.868378,298.119324,57.305775,163.658325,5.277577,693.277588,345.437317,1114.886353,90.092941,5335.100098,1.620509
2010,1,22,1796.455444,196.933716,296.983734,57.411701,163.768921,5.054822,686.520264,344.016968,1109.752319,89.715485,5303,1.611006
2010,1,25,1794.400024,192.104446,298.971161,56.564266,163.768921,5.09766,672.195068,343.448822,1094.890991,87.702225,5260.299805,1.625012
2010,1,26,1822.001465,192.246506,302.378265,57.136269,165.613144,4.89204,682.466064,341.744232,1105.158936,87.890961,5276.899902,1.6147
2010,1,27,1788.233643,188.695572,302.094299,57.115116,165.428772,4.887755,674.627747,335.49469,1118.669556,87.073059,5217.5,1.617809
2010,1,28,1706.015869,186.138916,303.22998,56.182972,164.506607,4.947729,663.546143,334.074219,1105.96936,86.192268,5145.700195,1.614309
2010,1,29,1710.127197,189.902878,304.649597,57.009167,165.207458,5.046255,657.60022,328.392761,1118.939697,86.569763,5188.5,1.598491
2010,2,1,1723.927856,192.175446,313.167236,57.496418,166.166473,5.046255,654.356628,333.222015,1116.507568,85.877739,5247.399902,1.595253
2010,2,2,1721.284668,192.956665,308.056641,57.348145,168.047546,5.09766,662.194702,336.914978,1122.992554,85.877739,5283.299805,1.599207
2010,2,3,1722.137939,193.879868,301.526428,56.987988,165.98204,5.166201,657.870178,345.721375,1126.505737,83.927376,5253.200195,1.592002
2010,2,4,1699.294434,210.001053,298.40329,59.021755,177.858932,5.611711,662.735352,337.767181,1119.480103,78.516762,5139.299805,1.576989
2010,2,5,1664.266357,186.422974,298.971161,58.979412,164.137756,5.054822,651.924072,326.404205,1110.022949,81.473717,5060.899902,1.565803
2010,2,8,1693.50708,185.996841,300.674683,59.000584,163.768921,4.986283,658.951355,318.450043,1135.962891,82.417427,5092.299805,1.557608
2010,2,9,1715.132446,185.428741,300.106873,58.576889,164.137756,5.140497,658.681213,318.165924,1122.452393,82.165764,5111.799805,1.569391
2010,2,10,1722.137939,186.99115,301.526428,58.725166,168.047546,5.07624,656.212097,330.381165,1132.17981,82.669083,5132,1.561207
2010,2,11,1723.051758,185.854828,300.390717,58.449764,168.195099,4.999133,664.990845,329.529022,1157.039429,75.433983,5161.5,1.570204
2010,2,12,1693.811646,183.937378,305.501404,58.894653,169.891815,4.92631,674.318298,324.415649,1165.956421,77.069733,5142.5,1.569809
2010,2,16,1697.770508,187.062164,304.933563,59.042976,171.035233,4.92631,681.176697,332.085815,1150.283813,74.678986,5244.100098,1.579005
2010,2,17,1702.339844,191.6073,308.340576,59.25481,172.252411,4.943444,683.096741,342.880554,1158.390381,73.735298,5276.600098,1.568209
2010,2,18,1704.16687,192.743591,304.649597,60.01746,172.990143,4.900607,682.273804,341.460205,1172.711426,72.854492,5325.100098,1.542305
2010,2,19,1723.965454,195.158234,306.920959,60.335247,174.539307,4.866337,677.610168,343.164703,1202.434326,74.616089,5358.200195,1.546408
2010,2,22,1711.782104,194.021988,306.637146,59.826786,175.203278,4.866337,660.327026,347.7099,1188.92395,74.364441,5352.100098,1.548659
2010,2,23,1716.046021,192.956665,304.933563,59.318356,175.240128,4.969147,663.070618,342.028381,1198.11084,72.665741,5315.100098,1.544592
2010,2,24,1716.350952,191.181213,304.081787,59.742065,177.785202,5.054822,661.973206,346.573608,1205.677002,73.043228,5342.899902,1.541711
2010,2,25,1711.782104,192.956665,302.66214,60.292858,175.572159,4.986283,660.327026,334.642365,1177.845215,73.924026,5278.200195,1.52439
2010,2,26,1756.556396,195.939468,308.624512,59.932716,177.047501,4.92631,666.087891,342.312439,1204.866455,72.288261,5354.5,1.523902
